(4:person0).id;;(4:person0).primaryName;;(4:person0).birthYear;;(4:person0).deathYear;;(4:person0).primaryProfession;;(3:principal0).id;;(3:principal0).category;;(3:principal0).job;;(3:principal0).characters;;(4:person1).id;;(4:person1).primaryName;;(4:person1).birthYear;;(4:person1).deathYear;;(4:person1).primaryProfession
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;68033;;Mary Odette;;1901;;1987;;actress
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;104048;;Patrick Waddington;;1901;;1987;;actor,soundtrack
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;68033;;Mary Odette;;1901;;1987;;actress
100054;;Ted McNamara;;1894;;1928;;actor;;100053;;actor;;N;;[Bat Smith];;112102;;John Holland;;1899;;1971;;actor
100054;;Ted McNamara;;1894;;1928;;actor;;100053;;actor;;N;;[Bat Smith];;76917;;Dorothy Mackaill;;1903;;1990;;actress,soundtrack
100054;;Ted McNamara;;1894;;1928;;actor;;108659;;actor;;N;;[O'Flynn's Groom];;112102;;John Holland;;1899;;1971;;actor
100054;;Ted McNamara;;1894;;1928;;actor;;108659;;actor;;N;;[O'Flynn's Groom];;76917;;Dorothy Mackaill;;1903;;1990;;actress,soundtrack
100054;;Ted McNamara;;1894;;1928;;actor;;119379;;actor;;N;;[Angus McAxle];;112102;;John Holland;;1899;;1971;;actor
100054;;Ted McNamara;;1894;;1928;;actor;;119379;;actor;;N;;[Angus McAxle];;76917;;Dorothy Mackaill;;1903;;1990;;actress,soundtrack
100054;;Ted McNamara;;1894;;1928;;actor;;34748;;actor;;N;;[Heinie];;112102;;John Holland;;1899;;1971;;actor
100054;;Ted McNamara;;1894;;1928;;actor;;34748;;actor;;N;;[Heinie];;76917;;Dorothy Mackaill;;1903;;1990;;actress,soundtrack
100054;;Ted McNamara;;1894;;1928;;actor;;9645;;actor;;N;;[Shorty];;112102;;John Holland;;1899;;1971;;actor
100054;;Ted McNamara;;1894;;1928;;actor;;9645;;actor;;N;;[Shorty];;76917;;Dorothy Mackaill;;1903;;1990;;actress,soundtrack
100170;;Grant Withers;;1905;;1959;;actor,producer,soundtrack;;14;;producer;;producer;;N;;188097;;Richard Loo;;1903;;1983;;actor
